Id,Name,Cuisine,Themes (incomplete)
1,Mango Ceviche,,Vegetarian
4,Basmti Rice,,Vegan
5,Sautéed Quinoa,Peruvian,Vegetarian
6,Beetroot Avocado Sald,,Vegetarian
7,Baked Broccoli,,Vegan
9,Chicken and Sweet Potato Soup,Thai,Poultry
12,Roasted Sweet Potato Carrot Soup,,Vegetarian
13,Flounder Ceviche,Peruvian,Fish
15,Picadillo Cubano,Cuban,Meat
19,Chickpeas With Onions,,Vegan
20,Pakistani Kima,Pakistani,Meat
21,Fesenjan,Persian,Poultry
24,Spiced Lamb,North Indian,Meat
27,Apple and Raisin Lamb Chops,,Meat
29,Spicy Three Pepper Salad,,Vegan
30,Brigadeiro,Brazilian,Dessert
35,Mixed Vegetable Raita,Indian,Vegetarian
36,Cheesy Basil Chicken,,Poultry
38,Creamy Chicken,,Poultry
40,Balsamic Lamb,,Meat
45,Quinoa Fruit Salad,Peruvian,Vegetarian
50,Red Onion Salad,Peruvian,Vegan
52,Cardamom and Lemon Meatballs,Moroccan,
60,Roast Potatoes with Herbed Sauce,,Vegan
61,Spinach Stir Fry,,Vegan
62,Tangy Roasted Carrots,,Vegan
63,Creamy Spinach,,Vegetarian
71,Quinoa with Kohlrabi,Peruvian,Vegetarian
80,Grated Carrot Salad,,Vegetarian
82,Baked Carrots,,Vegan
83,Baked Potatoes with Cheese,,Vegetarian
84,Cucumber and Onion Salad,,Vegan
85,Oven Baked Potato Fries,,Vegan
86,Cold Green Bean Salad,,Vegetarian
87,Creamy Potato Salad,,Vegetarian
97,Black Bean Sweet Potato Chili,,Meat
112,Roasted Cauliflower,,Vegetarian
131,Cream of Broccoli Soup,,Vegetarian
145,Bacon Wrapped Pork Roast,,Meat
153,Spaghetti with Tomato Sauce,Italian,Vegetarian
154,Spaghetti with Veggie Ragu,Italian,Vegetarian
155,Penne with dried cherry tomatoes,Italian,Vegetarian
156,Spaghetti with Almonds,Italian,
167,Egg Bhurji,North Indian,Vegetarian
168,Saag Chicken,North Indian,
169,Lamb Korma,North Indian,
171,Vegetable Jalfrezi,North Indian,Vegetarian
173,Aloo Capsicum,North Indian,Vegetarian
175,Tabbouleh,Lebanese,
190,Braised Pork and Eggs,Vietnamese,
